Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
161253,REM2,RRAD and GEM like GTPase 2,Homo sapiens,human,NM_173527.3,NP_775798.2,10134947,curated,RefseqSelect,default-seq
467399,REM2,RRAD and GEM like GTPase 2,Pan troglodytes,chimpanzee,XM_009427474.5,XP_009425749.1,10134947,model,,default-seq
712572,REM2,RRAD and GEM like GTPase 2,Macaca mulatta,Rhesus monkey,XM_001100692.4,XP_001100692.1,10134947,model,,default-seq
100388957,REM2,RRAD and GEM like GTPase 2,Callithrix jacchus,white-tufted-ear marmoset,XM_035260095.2,XP_035115986.1,,model,,default-seq
100436454,REM2,RRAD and GEM like GTPase 2,Pongo abelii,Sumatran orangutan,XM_002824566.5,XP_002824612.1,10134947,model,,default-seq
100582339,REM2,RRAD and GEM like GTPase 2,Nomascus leucogenys,northern white-cheeked gibbon,XM_003260595.2,XP_003260643.2,,model,,default-seq
100958141,REM2,RRAD and GEM like GTPase 2,Otolemur garnettii,small-eared galago,XM_003801909.3,XP_003801957.1,10134947,model,,default-seq
100989527,REM2,RRAD and GEM like GTPase 2,Pan paniscus,pygmy chimpanzee,XM_008960213.4,XP_008958461.3,,model,,default-seq
101021871,REM2,RRAD and GEM like GTPase 2,Papio anubis,olive baboon,XM_003901565.5,XP_003901614.1,10134947,model,,default-seq
101040312,REM2,RRAD and GEM like GTPase 2,Saimiri boliviensis,Bolivian squirrel monkey,XM_003924335.4,XP_003924384.1,10134947,model,,default-seq
101125650,REM2,RRAD and GEM like GTPase 2,Gorilla gorilla gorilla,western lowland gorilla,XM_055362376.2,XP_055218351.1,,model,,default-seq
102133589,REM2,RRAD and GEM like GTPase 2,Macaca fascicularis,crab-eating macaque,XM_005560816.4,XP_005560873.1,10134947,model,,default-seq
103231448,REM2,RRAD and GEM like GTPase 2,Chlorocebus sabaeus,green monkey,XM_007990787.3,XP_007988978.3,,model,,default-seq
103267685,REM2,RRAD and GEM like GTPase 2,Carlito syrichta,Philippine tarsier,XM_008065271.2,XP_008063462.1,10134947,model,,default-seq
104674135,REM2,RRAD and GEM like GTPase 2,Rhinopithecus roxellana,golden snub-nosed monkey,XM_010378358.2,XP_010376660.2,,model,,default-seq
105499627,LOC105499627,RRAD and GEM like GTPase 2,Macaca nemestrina,pig-tailed macaque,XM_011772352.3,XP_011770654.1,10134947,model,,default-seq
105503854,REM2,RRAD and GEM like GTPase 2,Colobus angolensis palliatus,,XM_011930962.1,XP_011786352.1,,model,,default-seq
105547171,REM2,RRAD and GEM like GTPase 2,Mandrillus leucophaeus,drill,XM_011990630.1,XP_011846020.1,10134947,model,,default-seq
105598792,REM2,RRAD and GEM like GTPase 2,Cercocebus atys,sooty mangabey,XM_012088533.1,XP_011943923.1,10134947,model,,default-seq
105727032,REM2,RRAD and GEM like GTPase 2,Aotus nancymaae,Ma's night monkey,XM_064374774.1,XP_064230844.1,,model,,default-seq
105814471,REM2,RRAD and GEM like GTPase 2,Propithecus coquereli,Coquerel's sifaka,XM_012649447.1,XP_012504901.1,10134947,model,,default-seq
105864704,REM2,RRAD and GEM like GTPase 2,Microcebus murinus,gray mouse lemur,XM_012752689.1,XP_012608143.1,10134947,model,,default-seq
108315258,REM2,RRAD and GEM like GTPase 2,Cebus imitator,Panamanian white-faced capuchin,XM_017544499.2,XP_017399988.1,10134947,model,,default-seq
108523599,REM2,RRAD and GEM like GTPase 2,Rhinopithecus bieti,black snub-nosed monkey,XM_017864286.1,XP_017719775.1,10134947,model,,default-seq
111554775,REM2,RRAD and GEM like GTPase 2,Piliocolobus tephrosceles,Ugandan red Colobus,XM_023230440.1,XP_023086208.1,10134947,model,,default-seq
112629036,REM2,RRAD and GEM like GTPase 2,Theropithecus gelada,gelada,XM_025392475.1,XP_025248260.1,10134947,model,,default-seq
116484899,REM2,RRAD and GEM like GTPase 2,Hylobates moloch,silvery gibbon,XM_032179928.2,XP_032035819.1,,model,,default-seq
116541390,REM2,RRAD and GEM like GTPase 2,Sapajus apella,tufted capuchin,XM_032265550.1,XP_032121441.1,,model,,default-seq
117069993,REM2,RRAD and GEM like GTPase 2,Trachypithecus francoisi,Francois's langur,XM_033188604.1,XP_033044495.1,,model,,default-seq
123620588,REM2,RRAD and GEM like GTPase 2,Lemur catta,Ring-tailed lemur,XM_045525960.1,XP_045381916.1,,model,,default-seq
126958288,REM2,RRAD and GEM like GTPase 2,Macaca thibetana thibetana,,XM_050796554.1,XP_050652511.1,,model,,default-seq
128588904,REM2,RRAD and GEM like GTPase 2,Nycticebus coucang,slow loris,XM_053595668.1,XP_053451643.1,,model,,default-seq
129012803,REM2,RRAD and GEM like GTPase 2,Pongo pygmaeus,Bornean orangutan,XM_054448863.2,XP_054304838.1,,model,,default-seq
129489373,REM2,RRAD and GEM like GTPase 2,Symphalangus syndactylus,siamang,XM_055291876.2,XP_055147851.1,,model,,default-seq
138378042,REM2,RRAD and GEM like GTPase 2,Eulemur rufifrons,Bennett's brown lemur,XM_069463304.1,XP_069319405.1,,model,,default-seq
