Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
390980,ZNF805,zinc finger protein 805,Homo sapiens,human,NM_001023563.4,NP_001018857.2,12204794,curated,RefseqSelect,default-seq
456324,ZNF805,zinc finger protein 805,Pan troglodytes,chimpanzee,XM_003316703.6,XP_003316751.1,12204794,model,,default-seq
523461,ZNF805,zinc finger protein 805,Bos taurus,domestic cattle,XM_024979418.2,XP_024835186.2,,model,,default-seq
100059529,ZNF805,zinc finger protein 805,Equus caballus,horse,XM_005596578.4,XP_005596635.2,,model,,default-seq
100411989,ZNF805,zinc finger protein 805,Callithrix jacchus,white-tufted-ear marmoset,NM_001270905.1,NP_001257834.1,12204794,curated,,default-seq
101137589,ZNF805,zinc finger protein 805,Gorilla gorilla gorilla,western lowland gorilla,XM_004061536.3,XP_004061584.1,12204794,model,,default-seq
101176150,ZNF805,zinc finger protein 805,Nomascus leucogenys,northern white-cheeked gibbon,XM_004089117.3,XP_004089165.1,12204794,model,,default-seq
101330077,ZNF805,zinc finger protein 805,Tursiops truncatus,common bottlenose dolphin,XM_073796317.1,XP_073652418.1,,model,,default-seq
101548429,ZNF805,zinc finger protein 805,Sorex araneus,European shrew,XM_055145341.1,XP_055001316.1,,model,,default-seq
101717170,Znf805,zinc finger protein 805,Heterocephalus glaber,naked mole-rat,XM_013066272.2,XP_012921726.1,12204794,model,,default-seq
102134158,ZNF805,zinc finger protein 805,Macaca fascicularis,crab-eating macaque,XM_005590500.5,XP_005590557.3,,model,,default-seq
102260474,ZNF805,zinc finger protein 805,Myotis brandtii,Brandt's bat,XM_005861700.2,XP_005861762.1,11640486,model,,default-seq
102538209,ZNF805,zinc finger protein 805,Vicugna pacos,alpaca,XM_072968360.1,XP_072824461.1,,model,,default-seq
102768954,ZNF805,zinc finger protein 805,Myotis davidii,,XM_015561781.1,XP_015417267.1,11640384,model,,default-seq
102834706,ZNF805,zinc finger protein 805,Chrysochloris asiatica,Cape golden mole,XM_006868260.1,XP_006868322.1,11472214,model,,default-seq
102866475,ZNF805,zinc finger protein 805,Elephantulus edwardii,Cape elephant shrew,XM_006902956.1,XP_006903018.1,11472214,model,,default-seq
102880171,ZNF805,zinc finger protein 805,Pteropus alecto,black flying fox,XM_006915918.3,XP_006915980.2,12204378,model,,default-seq
102982498,ZNF805,zinc finger protein 805,Physeter macrocephalus,sperm whale,XM_007127435.4,XP_007127497.1,12204794,model,,default-seq
103303846,ZNF805,zinc finger protein 805,Eptesicus fuscus,big brown bat,XM_054710409.1,XP_054566384.1,,model,,default-seq
103543885,ZNF805,zinc finger protein 805,Equus przewalskii,Przewalski's horse,XM_070633507.1,XP_070489608.1,,model,,default-seq
104680963,ZNF805,zinc finger protein 805,Rhinopithecus roxellana,golden snub-nosed monkey,XM_030941696.1,XP_030797556.1,,model,,default-seq
105001434,ZNF805,zinc finger protein 805,Bison bison bison,,XM_010857695.1,XP_010855997.1,12204726,model,,default-seq
105074405,ZNF805,zinc finger protein 805,Camelus bactrianus,Bactrian camel,XM_010961969.3,XP_010960271.2,,model,,default-seq
105234349,ZNF805,zinc finger protein 805,Ailuropoda melanoleuca,giant panda,XM_034639534.1,XP_034495425.1,,model,,default-seq
105539398,ZNF805,zinc finger protein 805,Mandrillus leucophaeus,drill,XM_011979649.1,XP_011835039.1,11640527,model,,default-seq
105726056,ZNF805,zinc finger protein 805,Aotus nancymaae,Ma's night monkey,XM_012465351.3,XP_012320774.1,12204794,model,,default-seq
105854612,ZNF805,zinc finger protein 805,Condylura cristata,star-nosed mole,XM_012734707.1,XP_012590161.1,11473154,model,,default-seq
105887527,ZNF805,zinc finger protein 805,Otolemur garnettii,small-eared galago,XM_012808667.2,XP_012664121.1,12204726,model,,default-seq
106004126,ZNF805,zinc finger protein 805,Mustela putorius furo,domestic ferret,XM_013048059.2,XP_012903513.1,12204726,model,,default-seq
108289944,ZNF805,zinc finger protein 805,Cebus imitator,Panamanian white-faced capuchin,XM_017509572.2,XP_017365061.1,12204794,model,,default-seq
108537760,ZNF805,zinc finger protein 805,Rhinopithecus bieti,black snub-nosed monkey,XM_017885451.1,XP_017740940.1,12204794,model,,default-seq
109690674,Znf805,zinc finger protein 805,Castor canadensis,American beaver,XM_020170135.2,XP_020025724.1,12204794,model,,default-seq
110147634,ZNF805,zinc finger protein 805,Odocoileus virginianus,white-tailed deer,XM_070451668.1,XP_070307769.1,,model,,default-seq
111170086,ZNF805,zinc finger protein 805,Delphinapterus leucas,beluga whale,XM_022564902.2,XP_022420610.2,,model,,default-seq
112613384,ZNF805,zinc finger protein 805,Theropithecus gelada,gelada,XM_025368830.1,XP_025224615.1,12204794,model,,default-seq
112911922,ZNF805,zinc finger protein 805,Vulpes vulpes,red fox,XM_072763850.1,XP_072619951.1,,model,,default-seq
113936256,ZNF805,zinc finger protein 805,Zalophus californianus,California sea lion,XM_035724963.1,XP_035580856.1,,model,,default-seq
