Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
347487,CXorf66,chromosome X open reading frame 66,Homo sapiens,human,NM_001013403.3,NP_001013421.1,,curated,RefseqSelect,default-seq
612060,CXHXorf66,chromosome X CXorf66 homolog,Canis lupus familiaris,dog,XM_005641884.3,XP_005641941.2,,model,,default-seq
631784,Gm7073,predicted gene 7073,Mus musculus,house mouse,NM_001382307.1,NP_001369236.1,,curated,RefseqSelect,default-seq
688842,Cxhxorf66,similar to human chromosome X open reading frame 66,Rattus norvegicus,Norway rat,NM_001433016.1,NP_001419945.1,,curated,RefseqSelect,default-seq
696289,CXHXorf66,chromosome X CXorf66 homolog,Macaca mulatta,Rhesus monkey,XM_001084932.4,XP_001084932.1,,model,,default-seq
739514,CXHXorf66,chromosome X CXorf66 homolog,Pan troglodytes,chimpanzee,XM_009439712.4,XP_009437987.3,,model,,default-seq
100055393,CXHXorf66,chromosome X CXorf66 homolog,Equus caballus,horse,XM_023633822.2,XP_023489590.1,,model,,default-seq
100343348,CXHXorf66,chromosome X CXorf66 homolog,Oryctolagus cuniculus,rabbit,XM_002720517.4,XP_002720563.1,,model,,default-seq
100403786,CXHXorf66,chromosome X CXorf66 homolog,Callithrix jacchus,white-tufted-ear marmoset,XM_054250971.1,XP_054106946.1,,model,,default-seq
100449039,CXHXorf66,chromosome X CXorf66 homolog,Pongo abelii,Sumatran orangutan,XM_024241033.2,XP_024096801.2,,model,,default-seq
100468918,CXHXorf66,chromosome X CXorf66 homolog,Ailuropoda melanoleuca,giant panda,XM_034649054.1,XP_034504945.1,,model,,default-seq
100524009,CXHXorf66,chromosome X CXorf66 homolog,Sus scrofa,pig,XM_003135428.3,XP_003135476.1,,model,,default-seq
100601427,CXHXorf66,chromosome X CXorf66 homolog,Nomascus leucogenys,northern white-cheeked gibbon,XM_003272597.4,XP_003272645.1,,model,,default-seq
100662896,CXHXorf66,chromosome X CXorf66 homolog,Loxodonta africana,African savanna elephant,XM_064277967.1,XP_064134037.1,,model,,default-seq
