Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
224019,Tmem191,transmembrane protein 191,Mus musculus,house mouse,NM_177473.3,NP_803424.2,13531049,curated,RefseqSelect,default-seq
645426,TMEM191C,transmembrane protein 191C,Homo sapiens,human,NM_001388354.1,NP_001375283.1,,curated,RefseqSelect,default-seq
680867,Tmem191c,transmembrane protein 191C,Rattus norvegicus,Norway rat,XM_063270948.1,XP_063127018.1,,model,,default-seq
697070,TMEM191C,transmembrane protein 191C,Macaca mulatta,Rhesus monkey,XM_015149747.2,XP_015005233.1,,model,,default-seq
745970,TMEM191C,transmembrane protein 191C,Pan troglodytes,chimpanzee,XM_024353567.2,XP_024209335.1,13382569,model,,default-seq
100152324,TMEM191C,transmembrane protein 191C,Sus scrofa,pig,XM_005670922.3,XP_005670979.1,,model,,default-seq
100337340,TMEM191C,transmembrane protein 191C,Bos taurus,domestic cattle,XM_059876461.1,XP_059732444.1,,model,,default-seq
100343753,TMEM191C,transmembrane protein 191C,Oryctolagus cuniculus,rabbit,XM_008272172.4,XP_008270394.3,,model,,default-seq
100398180,TMEM191C,transmembrane protein 191C,Callithrix jacchus,white-tufted-ear marmoset,XM_035266986.2,XP_035122877.1,,model,,default-seq
100442562,TMEM191C,transmembrane protein 191C,Pongo abelii,Sumatran orangutan,XM_054543089.2,XP_054399064.1,,model,,default-seq
100602947,TMEM191C,transmembrane protein 191C,Nomascus leucogenys,northern white-cheeked gibbon,XM_030815900.1,XP_030671760.1,,model,,default-seq
100618117,TMEM191C,transmembrane protein 191C,Monodelphis domestica,gray short-tailed opossum,XM_016432505.2,XP_016287991.1,,model,,default-seq
100662326,TMEM191C,transmembrane protein 191C,Loxodonta africana,African savanna elephant,XM_010598892.1,XP_010597194.1,13531049,model,,default-seq
100731061,Tmem191c,transmembrane protein 191C,Cavia porcellus,domestic guinea pig,XM_063226038.1,XP_063082108.1,,model,,default-seq
100755758,Tmem191c,transmembrane protein 191C,Cricetulus griseus,Chinese hamster,XM_027413205.2,XP_027269006.1,13531049,model,,default-seq
100964428,TMEM191C,transmembrane protein 191C,Otolemur garnettii,small-eared galago,XM_012812691.1,XP_012668145.1,13382569,model,,default-seq
101008182,TMEM191C,transmembrane protein 191C,Papio anubis,olive baboon,XM_009216869.4,XP_009215133.1,13531049,model,,default-seq
101043522,TMEM191C,transmembrane protein 191C,Saimiri boliviensis,Bolivian squirrel monkey,XM_039462516.2,XP_039318450.1,,model,,default-seq
101127021,TMEM191C,transmembrane protein 191C,Gorilla gorilla gorilla,western lowland gorilla,XM_031006546.3,XP_030862406.1,,model,,default-seq
101288073,TMEM191C,transmembrane protein 191C,Orcinus orca,killer whale,XM_049697904.1,XP_049553861.1,,model,,default-seq
101351270,TMEM191C,transmembrane protein 191C,Trichechus manatus latirostris,Florida manatee,XM_012558341.1,XP_012413795.1,,model,,default-seq
101384618,TMEM191C,transmembrane protein 191C,Odobenus rosmarus divergens,Pacific walrus,XM_012562429.1,XP_012417883.1,13531049,model,,default-seq
