&alpha;,&beta;<sup>1</sup>,p<sup>1</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length,MEME LogL,FEL LogL,FEL &alpha;,FEL &beta;,CodonSite,adjusted_p-value
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12,1.0
61.63348938654369,0.5403880680982694,1e-08,1.391157988143882,0.99999999,0.0,0.6666666666666666,0.0,0.0,-13.69346604308862,-13.69360593879037,1.0,64.27175007494745,13,0.8018018018018017
25.27789339522346,1.25253751988293,1e-08,1.060103721346491,0.99999999,0.0,0.6666666666666666,0.0,0.0,-17.34291786684146,-17.34300998742523,1.0,25.05675438702982,14,0.8018018018018017
7.062099441464977,1.605572609620062,1e-08,0.9708999574217404,0.99999999,0.0,0.6666666666666666,0.0,0.0,-12.08126805843753,-12.08203504209234,1.0,6.56641855516585,15,0.8018018018018017
0.0004135539020854421,2.608068652664091e-05,1e-08,1.976170296981603,0.99999999,0.6395507615435392,0.3934765154860637,2.0,0.0,-12.65989797531482,-12.66005329447292,1.0,0.0001170374755189681,16,0.8018018018018017
2.398491567896513,0.03132802429676391,1e-08,0.2015395273027801,0.99999999,0.0,0.6666666666666666,0.0,0.0,-10.43044333234976,-10.43055887365204,1.0,2.35310470710336,17,0.8018018018018017
1.065450027369605,0.05817273432497289,1e-08,1.085614588364598,0.99999999,2.403108406312526e-05,0.6654888605237598,0.0,0.0,-9.081501055062763,-9.081572862763235,1.0,1.057077847011228,18,0.8018018018018017
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19,1.0
0.124569480085428,0.003399333262568143,1e-08,71.72374096339902,0.99999999,6.3227836841222,0.01911035947614337,1.0,0.0,-15.01737835149279,-12.14017417061221,0.05629192507647929,3.455935506530813e-05,20,0.8018018018018017
4.222342972014517,0.0,1e-08,0.8269961342316811,0.99999999,0.0,0.6666666666666666,0.0,0.0,-4.853988798317941,-4.854084382828566,1.0,4.314408472727926,21,0.8018018018018017
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22,1.0
4.421956664462616e-07,4.772490518551142e-09,1e-08,0.02709061421218232,0.99999999,0.818944465325611,0.3531135730837834,1.0,0.0,-6.529222203620855,-6.529549168298127,1.0,1.418086699866699e-07,23,0.8018018018018017
3.019333941010179e-05,2.087811150139892e-06,1e-08,2.110894259918508,0.99999999,0.6331985320890823,0.3950169974119284,2.0,0.0,-18.83530708316267,-18.83566333306706,1.0,2.116857666718256e-05,24,0.8018018018018017
9.377195509583217,1.83776019277794,1e-08,1.951524312513504,0.99999999,0.0,0.6666666666666666,0.0,0.0,-14.56681195718454,-14.56714812711734,1.0,8.815882245037168,25,0.8018018018018017
0.0003159184051383278,1.682561183789124e-05,1e-08,2.24581492617902,0.99999999,0.7697860895193571,0.3636102238363161,2.0,0.0,-17.65727781542333,-17.65747643382637,1.0,1.540743870015736e-05,26,0.8018018018018017
8.673720762803903,0.0,1e-08,1.453412728459549,0.99999999,0.0,0.6666666666666666,0.0,0.0,-13.66768193716,-11.83776569986658,0.1604270049689069,9.253981076021102,27,0.8018018018018017
0.0003206139663603702,1.781355034889855e-05,1e-08,0.694096884659182,0.99999999,0.3132126490621978,0.4862295173201419,2.0,0.0,-13.69627130122772,-13.69643905375627,1.0,2.207382593240267e-06,28,0.8018018018018017
1.287430392586732,0.04926213576455683,1e-08,2.061271756367122,0.99999999,0.06587954357920012,0.5940155410152623,1.0,0.0,-14.18926073442299,-14.15022706155336,0.9617183247833715,0.8474314661412422,29,0.8018018018018017
28.6125030363855,0.9609275328354749,1e-08,1.32130049294814,0.99999999,0.0,0.6666666666666666,0.0,0.0,-23.92482434262315,-23.92494402618996,1.0,28.22126959496052,30,0.8018018018018017
28.07597808375374,0.4439210721240766,1e-08,1.025933498917279,0.99999999,0.0,0.6666666666666666,0.0,0.0,-22.44418529461297,-22.44426319282662,1.0,27.98357706643328,31,0.8018018018018017
21.31188330541788,0.03222429929152661,1e-08,16.53860033052289,0.99999999,0.0,0.6666666666666666,0.0,0.0,-12.56161072684128,-12.56134447578524,0.9997337843856132,21.61018997447077,32,0.8018018018018017
11.58291930401721,0.0,1e-08,4.189522145724951,0.99999999,0.0,0.6666666666666666,0.0,0.0,-13.66517554959106,-13.66522813011472,1.0,11.66418670498449,33,0.8018018018018017
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,34,1.0
10.79086320135883,0.7329280847458852,1e-08,1.255938463239254,0.99999999,0.0,0.6666666666666666,0.0,0.0,-18.83077120022833,-18.83067293382927,0.9999017384289188,10.70273001160113,35,0.8018018018018017
