Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
72745,Tmem161b,transmembrane protein 161B,Mus musculus,house mouse,NM_175187.5,NP_780396.2,10563169,curated,RefseqSelect,default-seq
153396,TMEM161B,transmembrane protein 161B,Homo sapiens,human,NM_153354.5,NP_699185.1,10563169,curated,RefseqSelect,default-seq
309953,Tmem161b,transmembrane protein 161B,Rattus norvegicus,Norway rat,NM_001433109.1,NP_001420038.1,,curated,RefseqSelect,default-seq
471485,TMEM161B,transmembrane protein 161B,Pan troglodytes,chimpanzee,XM_016953021.4,XP_016808510.2,,model,,default-seq
488916,TMEM161B,transmembrane protein 161B,Canis lupus familiaris,dog,XM_546033.7,XP_546033.4,10563169,model,,default-seq
510378,TMEM161B,transmembrane protein 161B,Bos taurus,domestic cattle,NM_001205673.1,NP_001192602.1,10563169,curated,,default-seq
694351,TMEM161B,transmembrane protein 161B,Macaca mulatta,Rhesus monkey,XM_001085376.4,XP_001085376.2,10563169,model,,default-seq
100013491,TMEM161B,transmembrane protein 161B,Monodelphis domestica,gray short-tailed opossum,XM_007487343.3,XP_007487405.3,,model,,default-seq
100073241,TMEM161B,transmembrane protein 161B,Equus caballus,horse,XM_023618029.2,XP_023473797.1,10563169,model,,default-seq
100079862,TMEM161B,transmembrane protein 161B,Ornithorhynchus anatinus,platypus,XM_029059374.2,XP_028915207.1,10563169,model,,default-seq
100344155,TMEM161B,transmembrane protein 161B,Oryctolagus cuniculus,rabbit,XM_008261921.4,XP_008260143.1,10563169,model,,default-seq
100414233,TMEM161B,transmembrane protein 161B,Callithrix jacchus,white-tufted-ear marmoset,XM_002744775.6,XP_002744821.1,10563169,model,,default-seq
100451064,TMEM161B,transmembrane protein 161B,Pongo abelii,Sumatran orangutan,XM_063724178.1,XP_063580248.1,,model,,default-seq
100467391,TMEM161B,transmembrane protein 161B,Ailuropoda melanoleuca,giant panda,XM_011232792.3,XP_011231094.1,10563169,model,,default-seq
100518540,TMEM161B,transmembrane protein 161B,Sus scrofa,pig,XM_003123774.5,XP_003123822.3,10563169,model,,default-seq
100584138,TMEM161B,transmembrane protein 161B,Nomascus leucogenys,northern white-cheeked gibbon,XM_030816572.1,XP_030672432.1,,model,,default-seq
100656195,TMEM161B,transmembrane protein 161B,Loxodonta africana,African savanna elephant,XM_010588260.3,XP_010586562.1,10563169,model,,default-seq
100725618,Tmem161b,transmembrane protein 161B,Cavia porcellus,domestic guinea pig,XM_003479463.5,XP_003479511.2,10563169,model,,default-seq
100750852,Tmem161b,transmembrane protein 161B,Cricetulus griseus,Chinese hamster,XM_003501191.5,XP_003501239.1,10563169,model,,default-seq
100932323,TMEM161B,transmembrane protein 161B,Sarcophilus harrisii,Tasmanian devil,XM_003759855.4,XP_003759903.1,10563169,model,,default-seq
100964657,TMEM161B,transmembrane protein 161B,Otolemur garnettii,small-eared galago,XM_012802816.1,XP_012658270.1,10563169,model,,default-seq
100976708,TMEM161B,transmembrane protein 161B,Pan paniscus,pygmy chimpanzee,XM_024928937.4,XP_024784705.3,,model,,default-seq
101017250,TMEM161B,transmembrane protein 161B,Papio anubis,olive baboon,XM_009208734.4,XP_009206998.1,10563169,model,,default-seq
101031820,TMEM161B,transmembrane protein 161B,Saimiri boliviensis,Bolivian squirrel monkey,XM_003920769.4,XP_003920818.1,10563169,model,,default-seq
101095637,TMEM161B,transmembrane protein 161B,Felis catus,domestic cat,XM_003981137.6,XP_003981186.1,10563169,model,,default-seq
101105569,TMEM161B,transmembrane protein 161B,Ovis aries,sheep,XM_042250735.2,XP_042106669.1,,model,,default-seq
101136721,TMEM161B,transmembrane protein 161B,Gorilla gorilla gorilla,western lowland gorilla,XM_055387481.2,XP_055243456.2,,model,,default-seq
101274070,TMEM161B,transmembrane protein 161B,Orcinus orca,killer whale,XM_004263548.4,XP_004263596.1,10563169,model,,default-seq
101333010,TMEM161B,transmembrane protein 161B,Tursiops truncatus,common bottlenose dolphin,XM_004321549.3,XP_004321597.1,10563169,model,,default-seq
101346044,TMEM161B,transmembrane protein 161B,Trichechus manatus latirostris,Florida manatee,XM_023730080.1,XP_023585848.1,10563169,model,,default-seq
101369827,TMEM161B,transmembrane protein 161B,Odobenus rosmarus divergens,Pacific walrus,XM_004403305.2,XP_004403362.1,10563169,model,,default-seq
101397627,LOC101397627,transmembrane protein 161B,Ceratotherium simum simum,southern white rhinoceros,XM_004420383.2,XP_004420440.1,10563169,model,,default-seq
101447509,TMEM161B,transmembrane protein 161B,Dasypus novemcinctus,nine-banded armadillo,XM_004470614.4,XP_004470671.1,10563169,model,,default-seq
101534378,TMEM161B,transmembrane protein 161B,Ochotona princeps,American pika,XM_004586214.2,XP_004586271.2,,model,,default-seq
